name,url,review_score,review_heading,profile_contr,review_body,date_of_stay,company
Ram Gautam,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r936580339-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Greedy boatmen and boat with no fuel,971 contributions,"The evening arati and the early morning boat ride were amazing. We took a boat, and the boatmen started the price from 5000 INR per boat but at last, made a deal for 3000 per boat later we found out 3000 for a small boat was an expensive deal. Anyway, we had no choice as there were no ticket counters for the boat we had to bargain no other choice. The sunrise view was not visible due to the thick fog/haze. We took a boat for 3000 and in 5 minutes or so, the fuel got finished in the middle and near collision with another boat, and had to wait for another 10-15 minutes (shouldn't they check the boat before seeking customers) till the boatmen came with the fuel for refilling. Overall it was not as good an experience as expected",Nov 2023 , Family
Denise D,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r936163139-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,This is the whole reason you visit Varanasi - go both evening and morning,286 contributions,"Our 2 boat rides on the Ganges River were extremely interesting.  In the evening we boated up close the main cremation ground, and our guide explained to us everything that was going on.  We then went back to the area where they were doing the Ganga Aarti. that was also amazing to see. Then the next morning we got up really early to go back and see the people bathing in the river.  Our guide gave us a great explanation of what the river means to the Hindu people.  Also walking through the old town to get to the river was an experience in itself, not to be missed.",Jan 2024 , Couples
Bijit Purkayastha,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r928069539-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,The Ganges and the ghats of Varanasi ,6 contributions,"Awesome.  Enjoy the ghats in the morning, evening and night. Soak in its offerings, engage in self reflection, simply laze around and see the world go by. Experience the unexpected, cultural kaleidoscope unfurl in front of your eyes. Accept all it has to offer and don't be judgemental. ",Nov 2023 , Couples
Kristian W,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r925877961-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Evening on the river Ganges,5 contributions,we visited Varanisi with Intrepid Travel in January 2020. We took an evening boat trip along the Ganges to see the light festival and set lighted candles off to float into the darkness. We were lucky to get this chance before everywhere in the world shut down to keep C19 under control.,Dec 2022 , Couples
Stephanie,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r925006158-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Great experience ,6 contributions,"We did boating in the river and surprisingly the river was so good. Lots of people were bathing and we were told that mostly people and pilgrims do this out of religious emotions and it is believed that it washes your all the sins. Anyways, it was a great fun to do boating experience so many different activities.",Nov 2023 , Family
shaarvi,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r922378899-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Such a serene experience ,2 contributions,"Boating on Ganga is one of the must to do activities and another great experience. Morning boat ride is such a serene experience that one can't forget. Just go for it. As my guide had recommended it so much, we loved it.",Oct 2023 , Family
BIGPYorkshire,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r921238197-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Bucket list experience,35 contributions,"An awesome lifetime experience.We followed tourist info and got there for sunrise. The walking from parking areas to the river is an experience in itself. But when you reach the river, the music, chanting and sights was a cultural extravagance . We got a boat, to see the sunrise and see the  rituals as you drift up and down the river.Sunrise was awesome. The pictures you take close to shore where the funeral pyres are something else, there were even stray dogs and cows amongst the activities. Once ashore against don’t try and take photos too near the funeral pyres. But Indian locals and tourist seem to delight in foreigners being there and wave to you as you are on the river and shore.There is also the new wider walkway from/to the river and the golden temple, which is also worth seeing.A bucket list experience.",Oct 2023 , Couples
Namaste N,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r917742703-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Wonderful place,2 contributions,"Very nice Place, I recommend all to visit this place. It is very holy place and place of Lord Vishwonath.",Nov 2022 , Family
WalkingPoint,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r917603673-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,Why not,401 contributions,"It wasn't my intention to get a boat to cruise the ghats but the volume of hawkers and their persuasive battering wore me down. The boats are invariably old but sturdy with little to shelter you from s downpour  - which it did.  Prices, journey and duration depend on your haggling skills. Certainly a good way to move between the ghats. The river is immense!",Sept 2023 , Business
globetrotter55,https://www.tripadvisor.ca/ShowUserReviews-g297685-d319858-r888248047-Ganges_River-Varanasi_Varanasi_District_Uttar_Pradesh.html,N/A,"somehow, I felt myself wiser, after","2,950 contributions","first meeting with the Ganges, but first of all first meeting with the most important place for Hinduismthe place is so animated on sunrise, the animation could be seen by boat, of courseall the temples on the cliff, those many steps and the people taking a ritual bath, and time to free some offerings on the riverand then, a stop to see the ritual of the death - preparing the body for cremation, the cremation itself, the ash heap to the finalVaranasi, the holy place for Hindu people; to be cremated here is similar to be burried to Mecca, for a Muslimdo not cry for dear who died, let him/her pass to a new life, looking to respect dharma and to reach nirvana",Apr 2023 , Friends
