name,url,review_score,review_heading,profile_contr,review_body,date_of_stay,company
Subhankar Biswal,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r939892769-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Sarnath-- Varanasi and more,2 contributions,"HiI recently completed my 4 day trip to varanasi(Feb 7th to 11th).Me, my wife and my 6 yr old daughter  had stayed at Hotel rivatas.I was quite confused how to cover Varanasi and what will be the cheapest way.I had initally planned to book a 2 wheeler BUT lucklly didn't choose that as very difficult to drive in the hectic and congested varanasi roadsFortunately, I met a tuk-tuk driver Mr.Raj Jaiswal(Ph 90055 41343), One of the most honest person I met.As my daughter is just 6 year old so we had to make freuqent trips back to the hotelHe was more than willing to  walk with me to the temple to see if the arrangements for Puja can be made or not.He charged Rs 1500/day and he was available from Morning 2:30 ( As i planned for the Mangla Aarti ) to Night 9 pm. We had booked his tuk tuk services from 8th to 11th febNow coming to SarnathWe visited Sarnath on 9th and 11th, What an amazing place for my daughter to know about Indian history and Buddha;s histroryWe took help of a local guide which Raj arranged for Rs 200 and he joined us to all the nearby places in Sarnath(Dhamek Stupa,Thai temple,Chaukand stupa)I also bought the Tibetian Music Bowl and my wife bought some lovely handbags at a good bargained price( as opposed to normal trend of getting commision from them) which was helped by Raj . More than just a driver Raj was a great tourist guide too showing a  lot of temples like the Mani temple , Baba bhairav temple which are not mentioned in most of the blogs.He  took us to  all the places to try the  best delicacies  that was on my list.",Jan-24, Family
Cleo M,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r938985093-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Excellent. Do not miss if in Varanasi area.,25 contributions,"Beautifully maintained historic structures, museum etc.  I liked it very much. We saw the place where Buddha started teaching his disciples.",Feb-24, Family
Vincent S,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r938967965-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Pappu our guide and wonderful driver,4 contributions,We had a wonderful time with Pappu. He was our driver and guide and had knowledge about all the places. He has a wonderful tuktuk which he called the helicopter and brought us everywhere we wanted to go. Pappu703@yahoo.com for more information and book your time with him. It's recommended. Thank you Pappu!,Feb-24, Couples
Roam48807840602,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r938391097-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,4.0 of 5 bubbles,Adventures in Varanasi & Sarnath with Pappu,1 contribution,"We were welcomed at Varanasi airport by Pappu who was our driver and guide for 3 days. Very kind, available, patient, knowledgeable and most importantly punctual , in addition he is an amazing driver: with his helicopter (tuk tuk) he will take you everywhere you wish, including shopping places and restaurants.Pappu knows everything and will recommend places according to your needs. Overall Sarnath and its Buddhist temples were very interesting , however I would suggest to enjoy Varanasi ghats and atmospheric alleys rather than visiting its outskirts, as you will take loads of time to move around Varanasi traffic and it's not really worth it if you have limited time.Pappu703@yahoo.com is his e-mail im case you need to visit Sarnath and Varanasi like us.Thank you India ❤️",Feb-24, Friends
Ram Gautam,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r936578526-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,1.0 of 5 bubbles,Scammer in Sarnath,971 contributions,"It's such a shame that tourists who visit this place without a guide will be looted. We were so excited to visit this Archaeological Buddhist site. The way of buying a ticket was either to do it online or you had to scan a QR for ticket payment. But as we were a tourist who had just arrived and we didn't have mobile data access (as Nepalese people are not allowed to buy a local sim card with a Nepalese passport, which is a shame) or UPI. So, we asked for an option but the guards suggested we pay 50-100 rupees per person extra to the local guy to enter. We didn't want to be part of this scamming technique to enter these heritage sites so we went up to cops sitting nearby to seek help as we really wanted to visit Sarnath. But, the cops sitting nearby defamed me when he got to know I was from Nepal. he not only me but my country Nepal and all the Nepalese. I cannot even publicly mention what he told me about my country Nepal. I would have beaten anyone for defaming me and my country, but as it was a policeman I didn't want any trouble during my travel with my mom. So, we decided to skip the plan of visiting Sarnath. Not only me and my mom were deprived of visiting Sarnath, but there were a few other foreign visitors from Sweden and France who faced the same problem.Even to enter the Sarnath museum there was an online system, we understand India wants to go fully digitalized. But on the monument's site, there should be the option of a ticket counter for foreign tourists who have issues buying tickets online. Tourists come to visit this beautiful country and monuments from all around the world but due to lack of access to buy the ticket they are deprived to enter the heritage sites and museums. One of the domestic tourists a young gentle guy (Arun Chauhan, who had come from Delhi) paid for our museum tickets, I appreciate his help though we couldn't visit Sarnath we could visit the Museum because of his generous act.",Nov-23, Family
Denise D,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r936162763-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,4.0 of 5 bubbles,"Interesting historical site, best to go with a guide",286 contributions,"We really learned a lot about Buddha and Buddhism while visiting Sarnath, but we would not have understood what we were seeing without a guide.  The site is well preserved and maintained, and definitely worth a visit while in Varanasi.",Jan-24, Couples
nalin,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r934202340-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Sarnath Varanasi india trip,4 contributions,Came to in details about God Buddha guided by one BHU student of tourism Mr pandey and he took lot of phographs of our whole family Excavation sites also we visited near one stupa built by King ashoka,Dec-23, Family
Resort59118837448,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r931980832-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Good travel,1 contribution,"It was a great experience. We were taken to many tourist spots.He was very kind, friendly and very approachable.+91 8948735966+91 9839067293pappu703@yahoo.com",Dec-23, Friends
Shalimar M,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r931937024-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,Beautiful,313 contributions,"Visited the Sarnath Buddhist temple and it was lovely. It was getting some work done, but still a delight to see. ",Feb-23, Friends
Travewrite,https://www.tripadvisor.ca/ShowUserReviews-g297685-d478221-r931784096-Sarnath-Varanasi_Varanasi_District_Uttar_Pradesh.html,5.0 of 5 bubbles,A must visit for history buffs,17 contributions,It takes about 30-45 mins from Benaras to reach the Sarnath site and Museum. The visit to the site takes about 60-90 mins and the museum takes 30-45 mins. The excavation sites are very well presented and the entire location has information and details at each site (you don't require a guide unless one likes listening to stories about the site :) )The museum is small but has many artefacts to see. It is closed on Fridays. ,Dec-23, Family
